"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"AE2";"A1JB";1;"IPEX Plug";;;
2;"C4, C5, C7, C21, C22, C23, C33";"C_0805_2012Metric";7;"1uF";;;
3;"C8, C13, C14, C24, C26";"C_0805_2012Metric";5;"100nF";;;
4;"C11, C25, C27, C30, C31";"C_1206_3216Metric";5;"10uF";;;
5;"C15, C16, C32, C34";"C_0805_2012Metric";4;"2.2uF";;;
6;"C17, C18";"C_0402_1005Metric";2;"NC";;;
7;"C28, C29";"C_0805_2012Metric";2;"2.2nF";;;
8;"D4, D5";"LED_0805_2012Metric";2;"LED";;;
9;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"BTNS";;;
10;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
11;"J3";"aux-pads";1;"Audio";;;
12;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
13;"L1";"L_0402_1005Metric";1;"0 Ohm";;;
14;"R4, R5";"R_0805_2012Metric";2;"5.1k";;;
15;"R10, R11";"R_0805_2012Metric";2;"470";;;
16;"R12";"R_0805_2012Metric";1;"10k";;;
17;"R14, R15";"R_0805_2012Metric";2;"1k";;;
18;"SW1";"SW_SPST_TS-1088-xR020";1;"POWER_SW";;;
19;"SW6";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SOFT RESET";;;
20;"U1";"EWM104-BT5125(KiCAD)_flipped_nonhole";1;"EWM104-BT5125";;;
21;"U2";"SOP65P640X120-20N";1;"PCM5102AQPWRQ1";;;
22;"U3";"QFN50P300X300X80-17N-D";1;"TPA6132A2RTET";;;
23;"U5";"SOT-23";1;"MCP1700x-330xxTT";;;
